term,estimate,std.error,statistic,p.value,conf.low,conf.high
ckd_diagnosis_bool,2.226623912976169,0.08599758577382118,9.308243838870428,1.2996334966599838e-20,1.8829911167841455,2.638163251936684
chronic_pulmonary_disease_bool,1.3690386994510684,0.06251625100932383,5.024434594907142,5.049178333650278e-7,1.2114828236993282,1.5480043376878012
diabetes_bool,1.813367873630187,0.06944688007642846,8.570375218024692,1.0314839860014898e-17,1.5834941080361054,2.079098293905375
immunocompromised_bool,1.5196731933193754,0.0774388462221566,5.404203804195368,6.509689557931816e-8,1.3062900402827264,1.7697603387108383
