model,AIC,delta_AIC,AICc,delta_AICc
four_way,81521.34426089402,3.3060790094459662,81521.3502757259,3.308225524480804
three_way,81520.10823308984,2.0700512052571867,81520.11378087461,2.0717306731967255
two_way,81518.03818188458,0,81518.04205020142,0
base,81564.1622093382,46.124027453624876,81564.16412459967,46.12207439825579
