condition,condition_state,population_count,event_count,event_percentage,event_low,event_high,rate_100k,rate_100k_low,rate_100k_high
ckd_diagnosis,0,79387.96823371889,1375.186504730483,0.01732235419707331,0.016431725542599536,0.018260016647164867,1732.2354197073312,1643.1725542599536,1826.0016647164866
ckd_diagnosis,1,79320,1822,0.022970247100353,0.021944412402122155,0.024042563840339325,2297.0247100353,2194.4412402122157,2404.2563840339326
chronic_pulmonary_disease,0,243182.11315111074,4521.804894375356,0.018594315329292146,0.018062939245269277,0.019140958588095138,1859.4315329292147,1806.2939245269276,1914.0958588095139
chronic_pulmonary_disease,1,243282,6402,0.026315140454287615,0.02568447955094575,0.02696080856002406,2631.5140454287616,2568.4479550945753,2696.080856002406
diabetes,0,158804.1442895238,2939.760059021126,0.018511859826916745,0.017857363234596517,0.019189760779586135,1851.1859826916746,1785.7363234596517,1918.9760779586136
diabetes,1,158781,3774,0.02376858692160901,0.0230276780586999,0.024532635413563594,2376.858692160901,2302.76780586999,2453.2635413563594
immunocompromised,0,159723.0480175859,2743.1073687546,0.017174148645426407,0.01654544144058021,0.01782619402142017,1717.4148645426408,1654.544144058021,1782.6194021420172
immunocompromised,1,159906,2933,0.01834202594023989,0.017692743699805388,0.01901455958919766,1834.2025940239891,1769.2743699805387,1901.4559589197659
