condition,condition_state,population_count,event_count,event_percentage,event_low,event_high,rate_100k,rate_100k_low,rate_100k_high
ckd_diagnosis,0,1825.666653231944,253.9104393605103,0.13907820406919155,0.12370174817601443,0.15599642573412295,13907.820406919156,12370.174817601443,15599.642573412295
ckd_diagnosis,1,1822,482,0.2645444566410538,0.2445343923163417,0.2855586952801524,26454.44566410538,24453.43923163417,28555.86952801524
chronic_pulmonary_disease,0,6400.589755670146,491.12642892070585,0.07673143376915033,0.07038667948250651,0.08359002837158203,7673.143376915033,7038.6679482506515,8359.002837158203
chronic_pulmonary_disease,1,6402,654,0.1021555763823805,0.09489840272809824,0.10989492847282606,10215.55763823805,9489.840272809824,10989.492847282605
diabetes,0,3771.9353229569874,379.19992995324503,0.10053192790590412,0.0912113513874017,0.11067655065683152,10053.192790590412,9121.13513874017,11067.655065683151
diabetes,1,3774,636,0.1685214626391097,0.1567885868426106,0.18093593101428132,16852.14626391097,15678.85868426106,18093.59310142813
immunocompromised,0,2932.3035873397507,325.6573079123668,0.11105852385762353,0.1000282692362072,0.12312174347788127,11105.852385762353,10002.82692362072,12312.174347788126
immunocompromised,1,2933,468,0.159563586771224,0.14659263084947816,0.173436582539745,15956.3586771224,14659.263084947816,17343.6582539745
